,chid,size,time_length,year
0,0.0,6.0,81.0,2001.0
1,0.0,8.0,93.0,2006.0
2,1.0,2.0,20.0,2006.0
3,2.0,3.0,54.0,2006.0
4,3.0,7.0,52.0,2006.0
5,4.0,2.0,17.0,2006.0
6,5.0,3.0,49.0,2006.0
7,6.0,4.0,73.0,2006.0
8,7.0,2.0,22.0,2006.0
9,8.0,5.0,90.0,2006.0
10,9.0,3.0,70.0,2006.0
11,10.0,6.0,51.0,2006.0
12,11.0,3.0,46.0,2006.0
13,12.0,2.0,27.0,2006.0
14,13.0,2.0,23.0,2006.0
15,14.0,2.0,21.0,2006.0
16,15.0,2.0,16.0,2006.0
17,16.0,3.0,52.0,2006.0
18,17.0,2.0,20.0,2006.0
19,18.0,2.0,25.0,2006.0
20,19.0,5.0,73.0,2006.0
21,20.0,4.0,33.0,2006.0
22,21.0,3.0,22.0,2006.0
23,22.0,2.0,17.0,2006.0
24,23.0,2.0,24.0,2006.0
25,24.0,2.0,29.0,2006.0
26,0.0,2.0,35.0,2011.0
27,1.0,2.0,25.0,2011.0
28,2.0,2.0,33.0,2011.0
29,3.0,4.0,52.0,2011.0
30,4.0,15.0,80.0,2011.0
31,5.0,5.0,88.0,2011.0
32,6.0,3.0,45.0,2011.0
33,7.0,3.0,46.0,2011.0
34,8.0,2.0,22.0,2011.0
35,9.0,5.0,71.0,2011.0
36,10.0,2.0,26.0,2011.0
37,11.0,4.0,50.0,2011.0
38,12.0,2.0,36.0,2011.0
39,13.0,2.0,17.0,2011.0
40,14.0,4.0,39.0,2011.0
41,15.0,2.0,24.0,2011.0
42,16.0,2.0,29.0,2011.0
43,17.0,2.0,22.0,2011.0
44,18.0,3.0,33.0,2011.0
45,19.0,5.0,48.0,2011.0
46,20.0,4.0,49.0,2011.0
47,21.0,4.0,34.0,2011.0
48,22.0,2.0,24.0,2011.0
49,23.0,2.0,22.0,2011.0
50,24.0,2.0,23.0,2011.0
51,0.0,3.0,31.0,2009.0
52,1.0,5.0,47.0,2009.0
53,2.0,3.0,36.0,2009.0
54,3.0,3.0,44.0,2009.0
55,4.0,4.0,62.0,2009.0
56,5.0,11.0,72.0,2009.0
57,6.0,3.0,42.0,2009.0
58,7.0,6.0,82.0,2009.0
59,8.0,2.0,31.0,2009.0
60,9.0,2.0,24.0,2009.0
61,10.0,2.0,27.0,2009.0
62,11.0,2.0,24.0,2009.0
63,12.0,2.0,16.0,2009.0
64,13.0,2.0,30.0,2009.0
65,14.0,5.0,68.0,2009.0
66,15.0,2.0,28.0,2009.0
67,16.0,7.0,72.0,2009.0
68,0.0,2.0,26.0,2015.0
69,1.0,215.0,188.0,2015.0
70,2.0,3.0,27.0,2015.0
71,3.0,2.0,30.0,2015.0
72,4.0,3.0,47.0,2015.0
73,5.0,2.0,24.0,2015.0
74,6.0,2.0,84.0,2015.0
75,7.0,2.0,34.0,2015.0
76,8.0,2.0,23.0,2015.0
77,9.0,4.0,50.0,2015.0
78,10.0,2.0,43.0,2015.0
79,11.0,6.0,105.0,2015.0
80,12.0,4.0,55.0,2015.0
81,13.0,6.0,125.0,2015.0
82,14.0,2.0,26.0,2015.0
83,15.0,3.0,47.0,2015.0
84,16.0,5.0,126.0,2015.0
85,17.0,5.0,128.0,2015.0
86,18.0,13.0,120.0,2015.0
87,19.0,3.0,96.0,2015.0
88,20.0,2.0,24.0,2015.0
89,21.0,3.0,69.0,2015.0
90,22.0,3.0,52.0,2015.0
91,23.0,2.0,22.0,2015.0
92,24.0,2.0,17.0,2015.0
93,25.0,13.0,77.0,2015.0
94,26.0,3.0,110.0,2015.0
95,27.0,6.0,78.0,2015.0
96,28.0,5.0,58.0,2015.0
97,29.0,2.0,57.0,2015.0
98,30.0,2.0,53.0,2015.0
99,31.0,3.0,54.0,2015.0
100,32.0,7.0,65.0,2015.0
101,33.0,3.0,53.0,2015.0
102,34.0,3.0,50.0,2015.0
103,35.0,3.0,48.0,2015.0
104,36.0,2.0,27.0,2015.0
105,37.0,2.0,21.0,2015.0
106,38.0,2.0,24.0,2015.0
107,39.0,2.0,30.0,2015.0
108,40.0,2.0,19.0,2015.0
109,41.0,2.0,23.0,2015.0
110,42.0,7.0,122.0,2015.0
111,43.0,2.0,34.0,2015.0
112,0.0,2.0,32.0,2007.0
113,1.0,2.0,30.0,2007.0
114,0.0,2.0,23.0,2012.0
115,1.0,8.0,83.0,2012.0
116,2.0,2.0,24.0,2012.0
117,3.0,2.0,27.0,2012.0
118,4.0,3.0,37.0,2012.0
119,5.0,2.0,16.0,2012.0
120,0.0,2.0,17.0,2013.0
121,0.0,2.0,17.0,2008.0
122,1.0,2.0,20.0,2008.0
123,2.0,2.0,26.0,2008.0
124,3.0,3.0,36.0,2008.0
125,4.0,2.0,17.0,2008.0
126,5.0,2.0,27.0,2008.0
127,0.0,2.0,19.0,2005.0
128,0.0,5.0,100.0,2010.0
129,1.0,4.0,47.0,2010.0
130,2.0,3.0,38.0,2010.0
131,3.0,4.0,44.0,2010.0
132,4.0,3.0,32.0,2010.0
133,5.0,2.0,23.0,2010.0
134,6.0,3.0,26.0,2010.0
135,7.0,2.0,23.0,2010.0
136,8.0,5.0,73.0,2010.0
137,9.0,4.0,45.0,2010.0
138,10.0,2.0,26.0,2010.0
139,11.0,5.0,53.0,2010.0
140,12.0,4.0,45.0,2010.0
141,13.0,4.0,53.0,2010.0
142,14.0,2.0,21.0,2010.0
143,15.0,3.0,47.0,2010.0
144,16.0,2.0,18.0,2010.0
145,17.0,2.0,30.0,2010.0
146,18.0,7.0,63.0,2010.0
147,19.0,4.0,54.0,2010.0
148,20.0,4.0,37.0,2010.0
149,21.0,2.0,32.0,2010.0
150,22.0,3.0,29.0,2010.0
151,23.0,2.0,31.0,2010.0
152,24.0,2.0,26.0,2010.0
153,25.0,4.0,61.0,2010.0
154,26.0,4.0,31.0,2010.0
155,27.0,2.0,32.0,2010.0
156,0.0,2.0,30.0,2014.0
157,1.0,2.0,61.0,2014.0
158,2.0,4.0,75.0,2014.0
159,3.0,159.0,206.0,2014.0
160,4.0,2.0,38.0,2014.0
161,5.0,2.0,36.0,2014.0
