ind,node_id,xx,yy,time,cluster_id,chain_id,incoming_size,outgoing_size,neighbor_size
0,0,176411.239795,2507472.99669,5.0,-1,,0,0,0
1,1,177659.870502,2515912.96173,13.0,-1,,0,0,0
2,2,179371.255116,2502179.13559,14.0,-1,,0,0,0
3,3,178754.945475,2507808.49311,39.0,-1,,0,0,0
4,4,179950.430024,2498662.84485,57.0,-1,,0,4,1
5,5,179950.430024,2498662.84485,57.0,-1,,0,4,1
6,6,182751.046412,2501140.73135,60.0,-1,,0,1,0
7,7,179879.193258,2501747.14771,60.0,-1,,0,1,0
8,8,181519.192971,2499262.58698,67.0,-1,,0,1,0
9,9,183900.704668,2503097.94612,70.0,-1,,0,22,2
10,10,180586.985225,2500943.30794,71.0,-1,,0,29,1
11,11,181207.155047,2500301.56994,72.0,-1,,0,109,36
12,12,181298.516464,2500498.26842,72.0,-1,,0,104,36
13,13,178561.664222,2502069.94026,73.0,-1,,0,2,2
14,14,178948.438454,2499012.94785,73.0,-1,,0,2,0
15,15,181021.518528,2500176.16634,73.0,-1,,0,106,41
16,16,181207.155047,2500301.56994,73.0,-1,,0,110,40
17,17,181207.155047,2500301.56994,74.0,-1,,0,118,43
18,18,179950.430024,2498662.84485,74.0,0,0.0,2,16,3
19,19,178561.664222,2502069.94026,74.0,-1,,0,3,2
20,20,181096.425346,2500142.60893,74.0,-1,,0,113,43
21,21,181129.303647,2500366.14587,75.0,-1,,0,134,49
22,22,181207.155047,2500301.56994,75.0,-1,,0,124,49
23,23,181096.985197,2500495.85111,76.0,-1,,0,134,54
24,24,181065.057916,2500483.81383,76.0,-1,,0,134,54
25,25,181065.057916,2500483.81383,76.0,-1,,0,134,54
26,26,181019.216451,2500350.03069,77.0,-1,,0,133,62
27,27,181175.759512,2500408.01649,77.0,-1,,0,134,63
28,28,181008.330443,2500444.20448,77.0,-1,,0,136,62
29,29,181065.057916,2500483.81383,77.0,-1,,0,136,62
30,30,179950.430024,2498662.84485,77.0,0,0.0,2,16,4
31,31,183900.704668,2503097.94612,78.0,-1,,0,28,8
32,32,181082.986944,2500355.28056,78.0,-1,,0,132,71
33,33,182985.359617,2496647.20896,78.0,-1,,0,1,0
34,34,183847.271084,2495953.59839,78.0,-1,,0,0,0
