ind,node_id,xx,yy,time,cluster_id,chain_id,in_size,out_size,neig_size
0,0,181393.601459,2500608.57745,86.0,-1,,0,17,2
1,1,181115.631165,2500526.77311,86.0,-1,,0,18,2
2,2,181065.057916,2500483.81383,95.0,-1,,0,18,12
3,3,184000.11611,2501357.87615,98.0,-1,,0,0,0
4,4,181446.160274,2500636.02599,98.0,0,0.0,2,16,10
5,5,181413.926321,2500555.33369,99.0,0,0.0,2,13,14
6,6,177692.232462,2504094.95491,100.0,-1,,0,0,2
7,7,181065.057916,2500483.81383,100.0,0,0.0,2,14,15
8,8,181385.522048,2500411.50537,100.0,0,0.0,2,13,15
9,9,180234.220418,2500918.33359,100.0,-1,,0,2,5
10,10,179059.254583,2501405.4281,101.0,-1,,0,0,0
11,11,181362.140868,2500700.62838,101.0,0,0.0,2,11,17
12,12,180128.339078,2497988.76468,102.0,-1,,0,0,1
13,13,177692.232462,2504094.95491,102.0,-1,,0,0,2
14,14,177692.232462,2504094.95491,102.0,-1,,0,0,2
15,15,180948.153632,2500551.88851,102.0,0,0.0,2,12,16
16,16,181298.516464,2500498.26842,103.0,0,0.0,2,11,20
17,17,181446.160274,2500636.02599,103.0,0,0.0,2,11,17
18,18,180128.339078,2497988.76468,103.0,-1,,0,0,1
19,19,180234.220418,2500918.33359,104.0,-1,,0,3,5
20,20,181082.986944,2500355.28056,104.0,0,0.0,2,11,20
21,21,180234.220418,2500918.33359,105.0,-1,,0,3,5
22,22,180234.220418,2500918.33359,105.0,-1,,0,3,5
23,23,178200.48717,2504192.22408,105.0,-1,,0,0,0
24,24,180234.220418,2500918.33359,105.0,-1,,0,3,5
25,25,180898.468323,2500477.91995,106.0,0,0.0,1,9,16
26,26,181175.759512,2500408.01649,107.0,0,0.0,3,10,24
27,27,181082.986944,2500355.28056,108.0,0,0.0,3,11,26
28,28,180234.220418,2500918.33359,109.0,-1,,0,1,7
29,29,182182.700504,2500489.90094,109.0,-1,,0,2,0
30,30,181039.27455,2500466.21222,110.0,0,0.0,4,12,26
31,31,181129.303647,2500366.14587,110.0,0,0.0,4,10,26
32,32,181129.303647,2500366.14587,110.0,0,0.0,4,10,26
33,33,181413.926321,2500555.33369,112.0,0,0.0,7,15,21
34,34,181413.926321,2500555.33369,112.0,0,0.0,7,15,21
35,35,181129.303647,2500366.14587,112.0,0,0.0,7,15,23
36,36,181413.926321,2500555.33369,114.0,0,0.0,7,18,20
37,37,180954.23729,2500761.15042,114.0,0,0.0,4,20,16
38,38,181373.773035,2502837.76444,115.0,-1,,0,0,0
