ind,id0,id1,clid,chid,size0,size1,x0,x1,y0,y1,t0,t1,op,no_SL
0,19,24,24,19,5,16,180119.317718,180104.205675,2502370.15543,2502364.43867,160.0,187.0,0.5,36
1,31,50,50,6,2,2,177410.235012,177462.563426,2504239.13998,2504218.95927,182.0,209.0,0.717751056958,2
2,36,52,52,10,9,16,179341.988482,179300.224643,2499151.14948,2499080.39432,189.0,213.0,1.0,23
3,61,86,86,18,2,3,182517.867009,182403.350869,2504219.08235,2503891.81166,212.0,237.0,0.5,6
4,21,27,27,3,8,7,181378.958491,180963.798812,2499892.74281,2499786.32288,163.0,191.0,0.691428779818,9
5,77,90,90,20,3,38,180827.532952,180743.576424,2502453.01809,2502777.74591,228.0,256.0,0.49962130831,40
6,84,95,95,22,15,3,182995.250312,183086.78789,2496462.83076,2496637.53954,234.0,251.0,0.641481075325,5
7,48,62,62,15,6,8,180217.609284,180211.349023,2497719.82649,2497671.54692,199.0,215.0,0.906558333493,8
8,2,7,7,1,2,2,180136.975753,180425.962873,2501012.34829,2501143.91595,119.0,139.0,1.0,2
9,79,92,92,21,8,10,178395.565022,178540.309175,2500515.71041,2500444.66216,229.0,247.0,0.717751056958,6
10,6,23,23,2,15,12,182489.195316,182589.389161,2500824.29587,2500910.56073,136.0,176.0,0.581743564233,18
11,52,72,72,10,16,3,179300.224643,179031.609695,2499080.39432,2499061.28645,201.0,223.0,0.456748702278,4
12,40,56,56,11,3,8,181175.388972,181318.163752,2506041.49539,2506135.85764,190.0,221.0,1.0,11
13,90,98,98,20,38,2,180743.576424,180908.145779,2502777.74591,2502167.69523,239.0,255.0,0.941044582837,2
14,34,51,51,8,3,8,181090.762259,181020.804276,2501093.47949,2501131.12142,188.0,210.0,0.692127595164,10
15,9,16,16,0,6,6,181716.898322,181770.171786,2500210.88739,2500052.11503,139.0,158.0,0.346549885747,3
16,36,63,63,10,9,4,179341.988482,179584.469508,2499151.14948,2499134.86877,189.0,216.0,0.419378854885,8
17,3,6,6,2,2,15,182524.970392,182489.195316,2500698.7862,2500824.29587,122.0,160.0,1.0,20
18,15,20,20,8,4,4,181240.320713,181249.520905,2501448.63671,2501379.66295,147.0,163.0,0.856270374365,6
19,68,78,78,19,4,6,179720.631413,179767.351089,2501695.55204,2501682.88013,216.0,233.0,0.412050700489,14
20,74,90,90,20,2,38,180774.664817,180743.576424,2502431.84813,2502777.74591,223.0,256.0,0.597529365122,24
21,51,82,82,8,8,2,181020.804276,181242.321303,2501131.12142,2501150.19641,201.0,237.0,1.0,2
22,22,39,39,0,4,2,180711.875476,180515.004871,2501050.70958,2501394.32666,163.0,191.0,0.333333333333,6
23,41,68,68,19,3,4,180106.061561,179720.631413,2501898.18796,2501695.55204,190.0,218.0,0.925341660781,4
24,45,71,71,13,2,2,176735.962719,176390.952904,2504141.03088,2504219.64872,197.0,220.0,0.982719965092,2
25,0,4,4,0,25,7,181223.366898,180920.291874,2500495.86024,2500822.6827,98.0,138.0,0.998087806549,7
26,58,91,91,16,6,2,178533.268622,178426.444568,2505748.35787,2505250.91057,209.0,241.0,1.0,2
27,0,9,9,0,25,6,181223.366898,181716.898322,2500495.86024,2500210.88739,98.0,143.0,0.5,12
28,35,64,64,9,4,8,180547.521039,180778.859205,2499040.78236,2499092.88808,188.0,224.0,0.86020267821,15
29,18,35,35,9,15,4,180713.193388,180547.521039,2498794.40318,2499040.78236,154.0,200.0,0.744018290314,7
30,8,21,21,3,2,8,181322.440125,181378.958491,2500215.23412,2499892.74281,139.0,170.0,0.324836591578,3
31,44,66,66,12,2,6,180558.445906,180288.861277,2507113.62515,2506780.43212,196.0,223.0,0.999906275719,3
32,14,25,25,3,5,2,181536.828931,181382.061735,2500126.46186,2499982.97676,147.0,176.0,0.414184511209,2
33,28,54,54,5,3,6,178735.084139,178998.410376,2502000.47613,2501698.05248,178.0,208.0,0.514556387904,2
34,60,80,80,17,6,2,181511.636981,181729.202795,2502402.88077,2502318.4899,211.0,231.0,1.0,2
35,26,42,42,4,2,2,182301.77205,182121.961135,2500329.36282,2500588.17072,176.0,193.0,0.573636837541,2
36,52,73,73,10,16,3,179300.224643,179114.858728,2499080.39432,2499349.1823,201.0,230.0,0.531938420492,4
37,21,32,32,3,8,2,181378.958491,181593.394968,2499892.74281,2499530.78767,163.0,182.0,0.834305461921,2
38,47,70,70,14,3,2,176064.46489,175968.403569,2505470.33225,2505797.47073,199.0,220.0,0.276516895311,4
39,20,34,34,8,4,3,181249.520905,181090.762259,2501379.66295,2501093.47949,161.0,190.0,0.304839792387,3
40,79,96,96,21,8,2,178395.565022,178325.981436,2500515.71041,2500696.81048,229.0,251.0,0.416976728318,4
41,21,30,30,3,8,2,181378.958491,181372.51939,2499892.74281,2500033.40382,163.0,182.0,0.308159543065,2
42,88,97,97,23,2,3,179837.784745,179945.554735,2496965.79243,2497069.76081,238.0,262.0,1.0,5
43,0,1,1,0,25,2,181223.366898,181129.373228,2500495.86024,2500381.64853,98.0,119.0,0.366165854847,2
44,24,41,41,19,16,3,180104.205675,180106.061561,2502364.43867,2501898.18796,174.0,199.0,1.0,3
45,54,75,75,5,6,2,178998.410376,179580.423611,2501698.05248,2501611.20632,203.0,227.0,0.849850084663,2
46,13,22,22,0,4,4,180659.902037,180711.875476,2501038.76581,2501050.70958,146.0,164.0,0.524640009593,4
47,37,58,58,16,2,6,178571.159521,178533.268622,2505645.56232,2505748.35787,189.0,220.0,1.0,7
48,72,83,83,10,3,4,179031.609695,178927.450799,2499061.28645,2499088.34571,221.0,240.0,0.534531349961,2
49,52,83,83,10,16,4,179300.224643,178927.450799,2499080.39432,2499088.34571,201.0,240.0,0.809886289898,3
50,4,13,13,0,7,4,180920.291874,180659.902037,2500822.6827,2501038.76581,134.0,150.0,0.91857823819,3
51,56,76,76,11,8,2,181318.163752,181183.294088,2506135.85764,2506427.55828,206.0,236.0,0.793848114465,2
52,89,100,100,24,3,2,182181.564886,182403.350869,2503947.79203,2503891.81166,239.0,268.0,1.0,2
53,11,31,31,6,6,2,177740.375101,177410.235012,2504022.56454,2504239.13998,146.0,183.0,0.991777443284,2
54,33,49,49,7,3,3,179356.028699,179376.355407,2502221.28536,2502170.62402,186.0,208.0,0.717751056958,3
55,50,69,69,6,2,2,177462.563426,177528.60885,2504218.95927,2504056.41765,200.0,219.0,1.0,2
56,14,21,21,3,5,8,181536.828931,181378.958491,2500126.46186,2499892.74281,147.0,170.0,0.484599250014,7
